Language
C++
Groovy
JavaScript
Python
TypeScript
Jupyter Notebook
PHP
Java
HTML
PowerShell
C
Swift
TeX
CSS
Objective-C
Ruby
Lua
C#
Shell
Smarty
Go
ASP
Dart
R
Scala
GCC Machine Description
OCaml
Kotlin
Matlab
Objective-C++
Rust
Makefile
Haskell
Inno Setup
Vue
Hack
Cuda
CoffeeScript
Perl
Scheme
CMake
PLpgSQL
Protocol Buffer
Vim script
Clojure
Apex
Rascal
WebAssembly
Smali
PureBasic
Objective-J
HCL
Smalltalk
Ren'Py
