Language,User_id,User_login
C++,17151892,tensorflower-gardener
C++,16824702,caisq
C++,463737,vrv
C++,6969686,benoitsteiner
C++,577277,martinwicke
C++,7946809,gunan
C++,192142,mrry
C++,1192265,yifeif
C++,1794715,ebrevdo
C++,6932348,yongtang
C++,175486,ilblackdragon
C++,5061,alextp
C++,16018,asimshankar
C++,5588272,av8ramit
C++,348932,hawkinsp
C++,170179,jhseu
C++,4269898,terrytangyuan
C++,3376817,andrewharp
C++,1184671,xiejw
C++,150663,jlebar
C++,88808,skye
C++,19293677,ispirmustafa
C++,22060313,annarev
C++,49262,jart
C++,2294279,dsmilkov
C++,161459,petewarden
C++,70511,girving
C++,136291,sanjoy
C++,20959853,drpngx
C++,1034716,zhangyaobit
Groovy,3150991,workingmonk
Groovy,255235,jackchi
Groovy,1045547,juano2310
Groovy,12903749,larsfinander
Groovy,87877,bflorian
Groovy,223479,varzac
Groovy,372015,dkirker
Groovy,144884,tpmanley
Groovy,123942,greens
Groovy,31250,mckeed
Groovy,19479729,marstorp
Groovy,16382454,parijatdas
Groovy,937796,davidsulpy
Groovy,20963218,pchomal
Groovy,4195052,skt123
Groovy,999179,vseven
Groovy,2181490,kwarodom
Groovy,18538006,rohandesai
Groovy,2717504,Bijnagte
Groovy,577467,surfous
Groovy,603814,aaron-miller
Groovy,8514778,tslagle13
Groovy,633218,dsainteclaire
Groovy,584771,vlaminck
Groovy,5333357,kris-schaller
Groovy,1469385,mrnohr
Groovy,23314145,ALamchaS
Groovy,276225,jimmyjames
Groovy,613419,lbredeso
Groovy,1149907,twack
JavaScript,5676,javache
JavaScript,346214,mkonicek
JavaScript,197597,vjeux
JavaScript,1509831,sahrens
JavaScript,546885,nicklockwood
JavaScript,764414,tadeuzagallo
JavaScript,22032,shergin
JavaScript,158859,davidaurelio
JavaScript,1733570,jeanlauliac
JavaScript,192222,frantic
JavaScript,1525924,emilsjolander
JavaScript,165856,hramos
JavaScript,2121048,bestander
JavaScript,587518,amasad
JavaScript,535661,martinbigio
JavaScript,2677334,janicduplessis
JavaScript,379606,ide
JavaScript,1483597,ericvicenti
JavaScript,856742,AaaChiuuu
JavaScript,594924,astreet
JavaScript,90494,brentvatne
JavaScript,6615092,andreicoman11
JavaScript,412054,foghina
JavaScript,13352,cpojer
JavaScript,6820,sophiebits
JavaScript,432491,korDen
JavaScript,290225,mhorowitz
JavaScript,241156,a2
JavaScript,726445,kmagiera
JavaScript,1095866,fkgozali
Python,710255,fchollet
Python,11006006,farizrahman4u
Python,14060629,ozabluda
Python,4445535,taehoonlee
Python,3902480,EderSantana
Python,3462566,maxpumperla
Python,123894,phreeza
Python,326559,wxs
Python,144949,the-moliver
Python,7121753,nzw0301
Python,14356347,matsuyamax
Python,8267636,tdhd
Python,8976546,Dref360
Python,5733,jfsantos
Python,55744,ahundt
Python,38025301,myutwo150
Python,506602,julienr
Python,31510,gvtulder
Python,60954,tleeuwenburg
Python,5553901,tboquet
Python,1595907,carlthome
Python,3826382,lukedeo
Python,2086260,olegsinyavskiy
Python,21106717,abhaikollara
Python,3817641,yaringal
Python,10293523,jihobak
Python,650502,Danielhiversen
Python,6568042,jeammimi
Python,12891691,gabrieldemarmiesse
Python,2018752,tristandeleu
JavaScript,810438,gaearon
JavaScript,1128784,markerikson
JavaScript,17882,timdorr
JavaScript,6018379,ellbee
JavaScript,668674,omnidan
JavaScript,3624098,acdlite
JavaScript,1110551,emmenko
JavaScript,934638,mindjuice
JavaScript,3382565,chentsulin
JavaScript,2524280,hedgerh
JavaScript,857709,aikoven
JavaScript,3819855,maxhallinan
JavaScript,7525670,mxstbr
JavaScript,1410314,ChrisJamesC
JavaScript,41694,mikekidder
JavaScript,1688997,coryhouse
JavaScript,682943,ffky
JavaScript,3112509,vramana
JavaScript,1851364,jimbolla
JavaScript,302674,danmaz74
JavaScript,3193344,CodinCat
JavaScript,29076302,danmartinez101
JavaScript,321738,ghengeveld
JavaScript,456426,webpro
JavaScript,3802023,knowbody
JavaScript,6439050,davezuko
JavaScript,12019797,urbanvikingr
JavaScript,376268,dariocravero
JavaScript,168498,ooflorent
JavaScript,1929486,Igorbek
Python,8483461,karlud
Python,9041401,lobrown
Python,4620576,forbiddenvoid
Python,7372191,SteveWooding
Python,790989,pmallory
Python,5629981,runar-rkmedia
TypeScript,507615,afc163
TypeScript,3580607,benjycui
TypeScript,465125,yesmeck
TypeScript,200876,yiminghe
TypeScript,6802825,jljsj33
TypeScript,7017767,ddcat1115
TypeScript,6628666,simaQ
TypeScript,566097,RaoHai
TypeScript,7301773,zhujun24
TypeScript,2011119,warmhug
TypeScript,1179603,nikogu
TypeScript,16832802,JuelChiang
TypeScript,5719547,kvetoslavnovak
TypeScript,3475472,megawac
TypeScript,543405,ibigbug
TypeScript,16483610,infeng
TypeScript,2723376,superRaytin
TypeScript,433259,bang88
TypeScript,6402969,khalibloo
TypeScript,2720537,tsj1107
TypeScript,35128,sorrycc
TypeScript,178582,waywardmonkeys
TypeScript,27856297,dependabot[bot]
TypeScript,5574625,elrrrrrrr
TypeScript,2900244,ioldfish
TypeScript,4010906,xueqingxiao
TypeScript,1646699,chentony
TypeScript,986480,pizn
TypeScript,1285675,dqaria
TypeScript,1303154,zheeeng
Jupyter Notebook,10386605,aymericdamien
Jupyter Notebook,6240820,normanheckscher
Jupyter Notebook,5562395,vra
